number_game;date;l_1;l_2;r_1;r_2;all_tickets;combination;totat_winnings_rub;super_prize_rub
228615;2023-07-09T15:42;8;5;7;8;860;1059;10060;100000
228616;2023-07-09T15:57;18;13;19;26;931;1098;8660;100000
228617;2023-07-09T16:12;19;17;9;23;852;1010;8320;100000
228618;2023-07-09T16:27;1;23;26;6;992;1197;6780;100000
228619;2023-07-09T16:42;3;5;9;2;1325;1487;11880;100000
228620;2023-07-09T16:57;9;14;2;10;1122;1458;11280;100000
228621;2023-07-09T17:12;19;13;6;7;1194;2192;16640;100000
228622;2023-07-09T17:27;2;4;20;10;1046;1396;8480;103610
228623;2023-07-09T17:42;11;16;23;7;1084;1428;11020;109090
228624;2023-07-09T17:57;1;16;13;8;1105;1510;9340;112350
228625;2023-07-09T18:12;10;7;18;3;992;1242;10100;118110
228626;2023-07-09T18:27;23;15;10;21;956;1180;10240;120430
228627;2023-07-09T18:42;22;20;8;16;954;1132;6860;121990
228628;2023-07-09T18:57;25;4;18;3;943;1344;8320;126450
228629;2023-07-09T19:12;16;14;15;5;946;1150;7340;131570
228630;2023-07-09T19:27;16;12;25;17;928;1161;6900;135730
228631;2023-07-09T19:42;2;26;23;19;1010;1236;7340;140440
228632;2023-07-09T19:57;9;10;7;11;999;1234;12520;145460
228633;2023-07-09T20:12;22;3;21;2;1116;1241;7700;145280
228634;2023-07-09T20:27;7;18;16;18;1057;1218;8320;149990
228635;2023-07-09T20:42;4;26;10;2;977;1517;8900;153850
228636;2023-07-09T20:57;13;24;12;18;902;1069;6580;160120
228637;2023-07-09T21:12;5;12;20;4;975;1313;10500;164230
228638;2023-07-09T21:27;5;17;23;14;1000;1292;9320;166860
228639;2023-07-09T21:42;18;20;23;13;893;1078;7340;170460
228640;2023-07-09T21:57;24;8;23;10;1008;1267;7500;173900
228641;2023-07-09T22:12;9;14;26;4;1055;1282;8960;179070
228642;2023-07-09T22:27;15;13;22;9;1235;2028;18060;182930
228643;2023-07-09T22:42;17;20;4;20;1113;2916;18140;185150
228644;2023-07-09T22:57;8;12;1;9;922;1515;12160;196170
228645;2023-07-09T23:12;26;9;25;24;981;1336;8340;199160
228646;2023-07-09T23:27;18;6;26;23;981;1150;6640;204180
228647;2023-07-09T23:42;16;10;21;22;910;1515;11580;209040
228648;2023-07-09T23:57;9;16;22;10;742;838;5760;212610
228649;2023-07-10T00:12;22;8;10;5;643;883;5400;215230
228650;2023-07-10T00:27;16;26;3;8;632;744;4380;218660
228651;2023-07-10T00:42;10;13;11;14;550;655;4720;221720
228652;2023-07-10T00:57;4;11;11;25;489;593;4920;223550
228653;2023-07-10T01:12;22;12;21;12;457;591;4900;224560
228654;2023-07-10T01:27;22;3;20;2;501;664;4880;225570
228655;2023-07-10T01:42;19;4;17;12;459;550;3300;227330
228656;2023-07-10T01:57;12;26;17;1;362;506;2440;229530
228657;2023-07-10T02:12;15;26;15;4;314;821;5520;232150
228658;2023-07-10T02:27;20;9;2;11;394;502;2800;234840
228659;2023-07-10T02:42;7;6;26;9;350;519;2820;237060
228660;2023-07-10T02:57;18;21;7;12;319;365;1640;239430
228661;2023-07-10T03:12;5;24;9;4;325;380;2680;241440
228662;2023-07-10T03:27;19;8;23;6;254;452;5440;242560
228663;2023-07-10T03:42;23;15;9;20;269;302;1880;241640
228664;2023-07-10T03:57;13;3;16;23;314;362;3100;242780
228665;2023-07-10T04:12;19;12;23;11;344;385;2360;243300
228666;2023-07-10T04:27;5;25;1;19;395;412;2360;244790
228667;2023-07-10T04:42;24;18;20;18;305;323;1700;246550
228668;2023-07-10T04:57;3;17;19;17;298;329;2320;248080
228669;2023-07-10T05:12;25;6;4;19;284;369;3520;249050
228670;2023-07-10T05:27;15;2;20;17;589;676;3900;249220
228671;2023-07-10T05:42;17;25;3;17;417;533;5020;252080
228672;2023-07-10T05:57;2;12;18;21;409;524;3020;252390
228673;2023-07-10T06:12;11;14;16;15;542;634;3520;254610
228674;2023-07-10T06:27;6;1;15;25;492;645;2840;257430
228675;2023-07-10T06:42;13;10;11;19;621;686;5740;261040
228676;2023-07-10T06:57;3;26;7;8;582;630;3740;262160
228677;2023-07-10T07:12;23;24;15;1;753;835;5100;264720
228678;2023-07-10T07:27;10;21;1;11;614;653;4100;267970
228679;2023-07-10T07:42;10;13;15;7;755;908;6600;270400
228680;2023-07-10T07:57;16;11;23;10;720;776;5200;272880
228681;2023-07-10T08:12;2;23;16;9;1347;1480;8680;275440
228682;2023-07-10T08:27;23;3;17;22;786;1202;7500;281560
228683;2023-07-10T08:42;5;8;1;10;835;1231;8060;286080
228684;2023-07-10T08:57;4;9;3;17;940;1321;16720;290330
228685;2023-07-10T09:12;6;8;8;15;1004;1251;8140;286820
228686;2023-07-10T09:27;2;18;9;1;1183;1567;11200;291190
228687;2023-07-10T09:42;14;18;5;24;925;1509;6480;295660
228688;2023-07-10T09:57;12;22;19;3;1146;1510;10600;304270
228689;2023-07-10T10:12;26;13;5;17;1243;1606;13380;308770
228690;2023-07-10T10:27;25;7;22;3;1461;2013;13860;311450
228691;2023-07-10T10:42;24;3;3;22;1346;1918;11740;317720
228692;2023-07-10T10:57;5;20;23;18;1419;2117;20920;325160
228693;2023-07-10T11:12;9;19;20;3;1422;2147;13620;325410
228694;2023-07-10T11:27;4;13;19;25;1497;2122;13480;333260
228695;2023-07-10T11:42;19;15;14;18;1516;2535;17700;341000
228696;2023-07-10T11:57;22;24;5;16;2759;3388;26500;348650
228697;2023-07-10T12:12;7;5;21;26;1882;2715;25300;356030
228698;2023-07-10T12:27;10;21;1;4;1573;2406;14340;357880
228699;2023-07-10T12:42;18;2;19;22;1468;2014;11840;367600
228700;2023-07-10T12:57;12;4;11;6;1258;1899;14760;375900
228701;2023-07-10T13:12;16;12;18;9;1506;2100;15020;380130
228702;2023-07-10T13:27;4;6;8;1;1518;2507;14320;386110
228703;2023-07-10T13:42;12;26;23;3;1301;2387;10380;396860
228704;2023-07-10T13:57;25;5;3;4;1719;2388;18700;410350
228705;2023-07-10T14:12;22;20;15;8;2389;2910;17380;415530
228706;2023-07-10T14:27;5;12;4;21;1650;2347;16720;427250
228707;2023-07-10T14:42;8;21;10;20;1736;2091;14200;434000
228708;2023-07-10T14:57;13;15;3;17;1913;3003;30960;440710
228709;2023-07-10T15:12;17;7;19;21;2109;6063;20980;439780
228710;2023-07-10T15:27;5;4;3;6;2003;3402;26200;479430
228711;2023-07-10T15:42;4;24;14;7;1811;3013;15380;487250
228712;2023-07-10T15:57;21;22;24;8;2090;3329;20600;502000
228713;2023-07-10T16:12;26;9;2;10;1738;2733;18480;514690
228714;2023-07-10T16:27;19;3;22;11;1859;2972;25460;523540
228715;2023-07-10T16:42;21;22;13;26;2094;2935;18200;527800
228716;2023-07-10T16:57;4;13;18;23;2150;3887;28220;538950
228717;2023-07-10T17:12;26;20;10;24;2204;3558;32500;549600
228718;2023-07-10T17:27;1;15;8;17;1931;2842;17740;552680
228719;2023-07-10T17:42;10;7;20;6;2177;4479;35880;563360
228720;2023-07-10T17:57;25;8;16;15;2452;4223;30980;572270
228721;2023-07-10T18:12;14;16;21;1;2106;3712;24680;583520
228722;2023-07-10T18:27;26;24;10;11;2601;3486;630820;605820
228723;2023-07-10T18:42;15;17;6;8;1429;1805;13480;100000
228724;2023-07-10T18:57;24;6;8;17;1171;1357;7760;100000
228725;2023-07-10T19:12;19;6;5;16;1106;1306;8100;100000
228726;2023-07-10T19:27;4;25;5;7;909;1082;7460;100000
228727;2023-07-10T19:42;3;10;19;7;951;1157;7040;100000
228728;2023-07-10T19:57;22;19;6;2;887;1178;7300;100000
228729;2023-07-10T20:12;7;2;18;15;810;1113;8160;100000
228730;2023-07-10T20:27;22;26;19;12;773;976;5320;100000
228731;2023-07-10T20:42;17;3;13;7;848;1230;12180;100000
228732;2023-07-10T20:57;1;15;3;21;865;1072;9200;100000
228733;2023-07-10T21:12;25;10;20;23;823;1124;5980;100000
228734;2023-07-10T21:27;16;24;9;19;772;958;6640;100000
228735;2023-07-10T21:42;11;5;6;25;785;920;12460;100000
228736;2023-07-10T21:57;18;26;22;7;736;952;8300;100000
228737;2023-07-10T22:12;16;10;8;3;728;974;8660;100000
228738;2023-07-10T22:27;18;4;21;12;805;1001;6980;100000
228739;2023-07-10T22:42;26;9;11;20;687;1025;5460;100000
228740;2023-07-10T22:57;18;11;12;9;684;818;9180;100000
228741;2023-07-10T23:12;19;9;25;26;626;811;5720;100000
228742;2023-07-10T23:27;8;11;22;1;663;809;5520;100000
228743;2023-07-10T23:42;12;1;21;19;569;850;5580;100000
228744;2023-07-10T23:57;23;26;14;1;500;711;5400;100000
228745;2023-07-11T00:12;21;18;9;7;426;458;2800;100000
228746;2023-07-11T00:27;15;24;2;1;465;573;3520;100000
228747;2023-07-11T00:42;16;22;2;11;381;409;3700;100000
228748;2023-07-11T00:57;12;10;4;16;333;393;4420;100000
228749;2023-07-11T01:12;6;13;25;6;324;409;2100;100000
228750;2023-07-11T01:27;20;9;11;2;265;297;2000;100000
228751;2023-07-11T01:42;16;25;17;24;247;263;1480;100000
228752;2023-07-11T01:57;6;15;4;12;205;220;1200;100000
228753;2023-07-11T02:12;25;2;26;13;222;263;1460;100000
228754;2023-07-11T02:27;17;11;2;4;221;241;1780;100000
228755;2023-07-11T02:42;24;21;23;11;216;225;1340;100000
228756;2023-07-11T02:57;18;10;16;3;202;207;1380;100000
228757;2023-07-11T03:12;17;20;15;25;195;261;880;100000
228758;2023-07-11T03:27;11;16;19;25;215;234;2600;100000
228759;2023-07-11T03:42;16;1;26;7;197;221;1460;100000
228760;2023-07-11T03:57;10;24;10;22;192;220;1960;100000
228761;2023-07-11T04:12;26;5;8;14;177;201;2300;100000
228762;2023-07-11T04:27;18;10;8;13;176;192;1340;100000
228763;2023-07-11T04:42;23;15;3;26;214;249;1420;100000
228764;2023-07-11T04:57;20;15;6;19;235;261;1580;100000
228765;2023-07-11T05:12;19;6;21;24;295;338;2180;100000
228766;2023-07-11T05:27;4;7;23;16;296;409;2920;100000
228767;2023-07-11T05:42;15;9;24;15;301;405;2700;100000
228768;2023-07-11T05:57;2;11;20;8;349;407;3660;100000
228769;2023-07-11T06:12;3;5;15;19;365;397;3780;100000
228770;2023-07-11T06:27;17;7;2;16;350;456;3680;100000
228771;2023-07-11T06:42;18;6;4;25;387;535;3140;100000
228772;2023-07-11T06:57;14;7;12;7;376;440;3140;100000
228773;2023-07-11T07:12;16;26;21;11;450;477;3900;100000
228774;2023-07-11T07:27;5;10;16;4;421;464;4540;100000
228775;2023-07-11T07:42;4;17;10;17;468;535;4180;100000
228776;2023-07-11T07:57;20;8;18;16;512;598;5140;100000
228777;2023-07-11T08:12;9;3;16;10;606;825;6500;100000
228778;2023-07-11T08:27;4;1;15;13;540;679;5120;100000
228779;2023-07-11T08:42;3;14;3;11;623;763;104640;100000
228780;2023-07-11T08:57;6;8;17;11;561;856;5940;100000
228781;2023-07-11T09:12;13;4;26;16;584;970;5980;100000
228782;2023-07-11T09:27;12;2;1;9;660;774;4860;100000
228783;2023-07-11T09:42;26;15;5;7;637;744;6000;100000
228784;2023-07-11T09:57;2;20;1;25;725;1071;6880;100000
228785;2023-07-11T10:12;9;23;6;8;713;954;6440;100000
228786;2023-07-11T10:27;5;4;23;20;740;923;5500;100000
228787;2023-07-11T10:42;14;7;26;16;749;927;5260;100000
228788;2023-07-11T10:57;24;8;15;9;758;1030;6040;100000
228789;2023-07-11T11:12;12;1;22;12;766;883;5340;100000
228790;2023-07-11T11:27;16;20;20;8;722;895;6180;100000
228791;2023-07-11T11:42;17;4;8;7;834;934;8300;100000
228792;2023-07-11T11:57;16;19;2;18;799;1035;4660;100000
228793;2023-07-11T12:12;19;5;9;23;795;944;5800;100000
228794;2023-07-11T12:27;7;4;19;18;785;934;6180;100000
228795;2023-07-11T12:42;23;20;11;24;913;1047;7780;100000
228796;2023-07-11T12:57;3;7;4;6;832;982;6500;100000
228797;2023-07-11T13:12;17;19;16;15;697;937;6760;100000
228798;2023-07-11T13:27;25;13;22;21;880;1071;6540;100000
228799;2023-07-11T13:42;16;1;26;4;759;887;4560;100000
228800;2023-07-11T13:57;16;7;17;5;743;1103;7600;100000
228801;2023-07-11T14:12;20;13;21;18;710;917;6060;100000
228802;2023-07-11T14:27;11;21;23;22;688;837;4900;100000
228803;2023-07-11T14:42;14;4;7;18;777;1151;6660;100000
228804;2023-07-11T14:57;1;19;4;6;810;1133;9540;100000
228805;2023-07-11T15:12;8;1;12;4;711;982;5180;100000
228806;2023-07-11T15:27;17;10;6;22;740;996;6000;100000
228807;2023-07-11T15:42;7;13;11;1;764;947;7620;100000
228808;2023-07-11T15:57;25;24;11;16;790;930;6060;100000
228809;2023-07-11T16:12;25;6;25;11;731;826;7040;100000
228810;2023-07-11T16:27;5;11;10;25;790;917;8200;100000
228811;2023-07-11T16:42;20;19;5;2;723;903;5740;100000
228812;2023-07-11T16:57;23;7;16;2;722;872;5780;102300
228813;2023-07-11T17:12;21;5;2;6;706;920;5580;105240
228814;2023-07-11T17:27;16;17;21;11;737;1241;9580;108860
228815;2023-07-11T17:42;12;5;9;2;663;1129;4540;111690
228816;2023-07-11T17:57;12;8;21;13;781;897;6100;118440
228817;2023-07-11T18:12;16;14;3;14;863;974;5400;121310
228818;2023-07-11T18:27;6;4;11;8;797;943;7940;125650
228819;2023-07-11T18:42;13;12;9;24;807;998;5800;127140
228820;2023-07-11T18:57;7;3;24;16;944;1326;11920;131320
228821;2023-07-11T19:12;22;1;17;1;779;886;5260;132660
228822;2023-07-11T19:27;21;4;10;25;920;1013;7060;136260
228823;2023-07-11T19:42;7;20;15;17;750;946;6400;139330
228824;2023-07-11T19:57;4;19;14;16;934;1112;7240;142390
228825;2023-07-11T20:12;1;5;22;21;775;868;5460;146270
228826;2023-07-11T20:27;10;8;21;8;731;980;7240;149490
228827;2023-07-11T20:42;20;22;24;9;728;833;4520;152050
228828;2023-07-11T20:57;1;20;13;16;811;990;6420;155860
228829;2023-07-11T21:12;1;4;12;16;750;867;5120;159340
228830;2023-07-11T21:27;11;22;17;3;936;1450;11200;162890
228831;2023-07-11T21:42;11;24;13;7;836;980;6620;166190
228832;2023-07-11T21:57;11;16;11;7;790;974;8060;169370
228833;2023-07-11T22:12;7;8;14;2;853;1082;6760;171050
228834;2023-07-11T22:27;15;19;23;6;951;1083;8080;175110
228835;2023-07-11T22:42;11;20;15;18;805;970;7400;177860
228836;2023-07-11T22:57;23;18;18;6;750;893;10500;180160
228837;2023-07-11T23:12;9;25;15;17;655;744;6740;178590
228838;2023-07-11T23:27;13;8;7;14;775;932;6980;179290
228839;2023-07-11T23:42;13;10;26;5;649;889;5620;181630
228840;2023-07-11T23:57;2;4;24;4;595;706;4780;184900
228841;2023-07-12T00:12;13;3;14;9;536;775;5580;187180
228842;2023-07-12T00:27;12;19;6;8;639;729;6280;189350
228843;2023-07-12T00:42;26;18;8;19;501;622;4040;190360
228844;2023-07-12T00:57;21;6;22;21;494;581;5680;192540
228845;2023-07-12T01:12;8;6;13;18;345;409;2720;192670
228846;2023-07-12T01:27;24;3;21;2;360;418;2300;194040
228847;2023-07-12T01:42;16;15;20;4;304;350;1720;195920
228848;2023-07-12T01:57;4;17;6;19;264;311;2340;197700
228849;2023-07-12T02:12;20;15;5;16;294;372;2460;198470
228850;2023-07-12T02:27;6;4;18;15;303;327;1780;199730
228851;2023-07-12T02:42;21;7;23;8;314;364;2780;201220
228852;2023-07-12T02:57;16;4;14;25;269;321;1880;202080
228853;2023-07-12T03:12;20;8;9;7;279;333;3100;203410
228854;2023-07-12T03:27;18;7;19;3;253;290;1560;203640
228855;2023-07-12T03:42;2;13;24;15;270;396;1980;204980
228856;2023-07-12T03:57;11;14;12;21;286;326;2880;206960
228857;2023-07-12T04:12;23;22;23;16;245;283;1760;207340
228858;2023-07-12T04:27;7;24;15;1;279;355;2800;208410
228859;2023-07-12T04:42;22;7;20;12;356;390;3440;209160
228860;2023-07-12T04:57;3;15;24;25;455;514;3060;209620
228861;2023-07-12T05:12;26;24;12;24;431;506;2780;211700
228862;2023-07-12T05:27;24;3;13;25;406;506;3500;213980
228863;2023-07-12T05:42;6;1;10;18;409;491;2480;215540
228864;2023-07-12T05:57;24;18;22;14;431;469;3080;217970
228865;2023-07-12T06:12;10;21;11;21;488;566;4820;219580
228866;2023-07-12T06:27;25;8;6;20;545;616;4740;220420
228867;2023-07-12T06:42;11;3;11;26;578;759;4200;221840
228868;2023-07-12T06:57;26;3;18;13;544;636;5780;225230
228869;2023-07-12T07:12;6;15;24;6;570;639;3860;225810
228870;2023-07-12T07:27;26;17;22;26;666;824;7180;228340
228871;2023-07-12T07:42;9;3;12;21;679;910;11300;229400
228872;2023-07-12T07:57;21;20;17;25;718;1043;6540;227200
228873;2023-07-12T08:12;10;11;26;3;806;1061;8580;231090
228874;2023-07-12T08:27;6;23;23;7;767;999;6740;233120
228875;2023-07-12T08:42;26;5;5;11;822;1153;7380;236370
228876;2023-07-12T08:57;7;26;23;15;922;1088;7040;240520
228877;2023-07-12T09:12;22;4;17;8;931;1087;8300;244360
228878;2023-07-12T09:27;25;3;6;18;1205;1917;10840;246930
228879;2023-07-12T09:42;11;15;6;7;1047;1383;9620;255260
228880;2023-07-12T09:57;19;20;9;26;1058;1674;11740;259470
228881;2023-07-12T10:12;20;13;19;3;1310;1849;10040;264470
228882;2023-07-12T10:27;25;23;16;21;2461;2999;28480;272920
228883;2023-07-12T10:42;17;18;17;22;1032;1751;13360;274430
228884;2023-07-12T10:57;14;6;21;20;869;1548;17880;278580
228885;2023-07-12T11:12;1;21;18;23;1754;2040;15720;276180
228886;2023-07-12T11:27;21;18;25;8;1179;1404;8860;280860
228887;2023-07-12T11:42;21;18;2;20;1222;1693;13900;286040
228888;2023-07-12T11:57;19;20;19;14;1161;2120;13920;289070
228889;2023-07-12T12:12;6;26;1;26;1284;1861;13800;296350
228890;2023-07-12T12:27;5;12;11;8;1376;1671;11740;301160
228891;2023-07-12T12:42;6;25;7;25;1362;1598;13360;306130
228892;2023-07-12T12:57;25;12;11;26;1412;1890;17440;308750
228893;2023-07-12T13:12;24;20;11;8;1374;1909;13780;310210
228894;2023-07-12T13:27;20;3;21;1;1509;2081;14780;315520
228895;2023-07-12T13:42;21;20;9;25;1305;2432;28680;321550
228896;2023-07-12T13:57;4;5;1;14;1491;2262;15120;317190
228897;2023-07-12T14:12;26;4;5;24;1480;2052;13620;324690
228898;2023-07-12T14:27;26;20;6;21;1445;1980;11100;331590
228899;2023-07-12T14:42;10;26;24;5;1297;1707;17940;340290
228900;2023-07-12T14:57;11;22;2;8;2113;2836;17420;339420
228901;2023-07-12T15:12;19;15;26;14;1192;2172;12600;350360
228902;2023-07-12T15:27;3;23;7;21;1795;3937;19700;359480
228903;2023-07-12T15:42;16;19;6;16;1621;2103;14900;379150
228904;2023-07-12T15:57;19;1;1;9;1513;2404;16360;385280
228905;2023-07-12T16:12;12;7;4;11;1562;2018;16140;392960
228906;2023-07-12T16:27;23;10;23;11;1549;2040;12700;397000
228907;2023-07-12T16:42;17;25;16;7;1548;2542;14680;404700
228908;2023-07-12T16:57;2;14;2;26;1891;3232;17640;415440
228909;2023-07-12T17:12;8;21;18;26;1487;1958;13760;430120
228910;2023-07-12T17:27;26;11;2;23;1823;2505;15900;435940
228911;2023-07-12T17:42;18;25;3;22;1550;2957;26520;445090
228912;2023-07-12T17:57;18;14;25;6;1737;2519;14420;448140
228913;2023-07-12T18:12;4;9;7;26;1827;5674;41360;458910
228914;2023-07-12T18:27;4;24;20;22;1721;7931;47860;474290
228915;2023-07-12T18:42;2;3;19;7;2002;7518;75760;505740
228916;2023-07-12T18:57;5;16;20;4;1999;6845;44720;505160
228917;2023-07-12T19:12;13;10;8;16;2473;8531;44360;528890
228918;2023-07-12T19:27;11;6;23;5;2026;3245;33620;569840
228919;2023-07-12T19:42;23;20;13;16;1969;6080;36820;568670
228920;2023-07-12T19:57;17;4;16;15;2396;3219;21540;592650
228921;2023-07-12T20:12;23;9;24;21;1892;2421;18740;603300
228922;2023-07-12T20:27;19;24;23;12;1909;2277;17800;608770
228923;2023-07-12T20:42;19;23;4;22;1952;2297;18680;613740
228924;2023-07-12T20:57;23;17;3;26;2002;3071;648740;626380
228925;2023-07-12T21:12;1;2;16;15;825;936;7620;100000
228926;2023-07-12T21:27;9;17;19;22;866;1054;7680;100000
228927;2023-07-12T21:42;17;4;14;1;741;897;5780;100000
228928;2023-07-12T21:57;15;21;14;20;741;855;6140;100000
228929;2023-07-12T22:12;19;12;17;11;638;728;5920;100000
228930;2023-07-12T22:27;7;1;22;14;681;797;4960;100000
228931;2023-07-12T22:42;9;25;26;16;649;793;4680;100000
228932;2023-07-12T22:57;16;13;16;20;625;709;4700;100000
228933;2023-07-12T23:12;2;16;16;13;568;644;3440;100000
228934;2023-07-12T23:27;21;1;15;4;735;822;4980;100000
228935;2023-07-12T23:42;16;11;26;15;620;765;4580;100000
228936;2023-07-12T23:57;14;13;19;4;532;647;5180;100000
228937;2023-07-13T00:12;12;25;24;21;501;545;3340;100000
228938;2023-07-13T00:27;19;8;25;8;522;560;3540;100000
228939;2023-07-13T00:42;18;6;10;12;398;483;3100;100000
228940;2023-07-13T00:57;20;13;5;8;273;306;4040;100000
228941;2023-07-13T01:12;23;22;2;3;279;364;2200;100000
228942;2023-07-13T01:27;1;16;25;26;206;361;1200;100000
228943;2023-07-13T01:42;26;16;2;19;192;530;7920;100000
228944;2023-07-13T01:57;9;18;18;24;271;295;1540;100000
228945;2023-07-13T02:12;12;18;24;21;271;293;2820;100000
228946;2023-07-13T02:27;4;18;9;4;299;366;3220;100000
228947;2023-07-13T02:42;15;8;20;16;292;316;3060;100000
228948;2023-07-13T02:57;8;13;17;16;264;304;2420;100000
228949;2023-07-13T03:12;16;4;18;17;243;449;6100;100000
228950;2023-07-13T03:27;7;15;24;5;321;525;3580;100000
228951;2023-07-13T03:42;10;3;13;5;168;179;1100;100000
228952;2023-07-13T03:57;8;2;11;19;364;377;1960;100000
228953;2023-07-13T04:12;4;20;12;26;163;197;1220;100000
228954;2023-07-13T04:27;5;8;25;3;193;208;1520;100000
228955;2023-07-13T04:42;7;3;14;5;173;198;1340;100000
228956;2023-07-13T04:57;18;21;15;16;199;214;1560;100000
228957;2023-07-13T05:12;22;18;16;1;199;267;1640;100000
228958;2023-07-13T05:27;15;3;16;25;222;265;2560;100000
228959;2023-07-13T05:42;3;26;15;4;233;284;1240;100000
228960;2023-07-13T05:57;20;18;18;10;245;278;1580;100000
228961;2023-07-13T06:12;1;26;10;20;267;307;1520;100000
228962;2023-07-13T06:27;7;10;16;2;253;288;2480;100000
228963;2023-07-13T06:42;22;20;10;2;342;394;2660;100000
228964;2023-07-13T06:57;12;1;8;20;302;365;2020;100000
228965;2023-07-13T07:12;2;6;20;17;405;552;3320;100000
228966;2023-07-13T07:27;21;3;23;13;366;401;2040;100000
228967;2023-07-13T07:42;19;25;17;16;381;457;2760;100000
228968;2023-07-13T07:57;19;10;11;7;425;467;2640;100000
228969;2023-07-13T08:12;25;24;25;6;422;472;2820;100000
228970;2023-07-13T08:27;6;24;4;13;521;554;3660;100000
228971;2023-07-13T08:42;9;1;24;5;512;641;2840;100000
228972;2023-07-13T08:57;22;18;16;14;499;553;4220;100000
228973;2023-07-13T09:12;20;7;10;6;585;674;4280;100000
228974;2023-07-13T09:27;13;6;17;8;489;602;4320;100000
228975;2023-07-13T09:42;8;23;1;2;551;729;3520;100000
228976;2023-07-13T09:57;3;13;19;17;687;804;5880;100000
228977;2023-07-13T10:12;13;5;4;25;557;647;5520;100000
228978;2023-07-13T10:27;26;21;12;22;575;774;5840;100000
228979;2023-07-13T10:42;17;1;19;8;635;899;6280;100000
228980;2023-07-13T10:57;14;2;16;17;559;645;4200;100000
228981;2023-07-13T11:12;7;22;7;5;592;735;6400;100000
228982;2023-07-13T11:27;3;15;5;26;625;726;4520;100000
228983;2023-07-13T11:42;15;8;22;19;717;1010;6620;100000
228984;2023-07-13T11:57;23;7;18;21;663;764;6460;100000
228985;2023-07-13T12:12;16;17;18;6;606;778;6840;100000
228986;2023-07-13T12:27;8;4;21;16;647;814;5000;100000
228987;2023-07-13T12:42;24;22;14;12;572;707;4480;100510
228988;2023-07-13T12:57;21;26;22;19;580;658;4500;103100
228989;2023-07-13T13:12;12;22;8;26;611;749;5960;105180
228990;2023-07-13T13:27;13;19;26;16;800;1078;7400;106710
228991;2023-07-13T13:42;12;11;21;5;745;894;6680;110090
228992;2023-07-13T13:57;7;22;4;22;713;912;7140;112350
228993;2023-07-13T14:12;6;4;6;10;754;970;6740;114330
228994;2023-07-13T14:27;20;22;6;24;791;964;5360;117290
228995;2023-07-13T14:42;1;14;14;12;741;933;6120;121570
228996;2023-07-13T14:57;4;1;18;20;769;891;5340;124780
228997;2023-07-13T15:12;10;11;25;3;749;858;8320;128350
228998;2023-07-13T15:27;17;19;22;12;753;901;6020;128610
228999;2023-07-13T15:42;24;9;22;13;784;1051;6500;131600
229000;2023-07-13T15:57;22;14;7;19;813;1027;6580;135610
229001;2023-07-13T16:12;11;10;1;2;834;1117;6740;139300
229002;2023-07-13T16:27;9;26;26;10;940;1094;6340;143730
229003;2023-07-13T16:42;17;12;16;24;797;994;5940;148330
229004;2023-07-13T16:57;7;23;10;25;880;1087;6380;152330
229005;2023-07-13T17:12;13;3;16;2;780;993;5660;156820
229006;2023-07-13T17:27;21;20;10;8;870;1203;10620;161090
229007;2023-07-13T17:42;24;1;8;17;848;1010;7060;162500
229008;2023-07-13T17:57;13;12;8;14;876;1079;7760;165540
229009;2023-07-13T18:12;17;7;8;14;887;1091;10200;168570
229010;2023-07-13T18:27;9;14;16;18;1055;1345;8460;169280
229011;2023-07-13T18:42;2;20;12;7;925;1070;8220;174270
229012;2023-07-13T18:57;23;7;17;8;1013;1342;13140;176750
229013;2023-07-13T19:12;26;5;2;8;912;1202;6320;177030
229014;2023-07-13T19:27;14;21;7;22;890;1250;9660;182730
229015;2023-07-13T19:42;5;6;20;3;1011;1157;6340;185570
229016;2023-07-13T19:57;17;13;19;9;1050;1303;8060;190800
229017;2023-07-13T20:12;3;21;22;3;992;1269;8600;195770
229018;2023-07-13T20:27;8;11;6;25;1079;1355;8160;199860
229019;2023-07-13T20:42;20;11;18;6;1082;1221;8680;205250
229020;2023-07-13T20:57;2;7;20;8;1027;1245;8840;208780
229021;2023-07-13T21:12;20;4;20;14;1023;1724;12420;212390
229022;2023-07-13T21:27;20;12;15;24;1146;1593;11600;217210
229023;2023-07-13T21:42;14;8;14;16;1111;1270;9760;221540
229024;2023-07-13T21:57;23;21;7;25;1177;1377;9800;224480
229025;2023-07-13T22:12;24;25;23;19;890;1087;6040;228450
229026;2023-07-13T22:27;8;7;5;8;896;1138;8480;233280
229027;2023-07-13T22:42;24;12;22;1;1129;1352;7280;236180
229028;2023-07-13T22:57;7;19;25;21;1183;1422;9320;242420
229029;2023-07-13T23:12;9;25;15;3;829;1062;6620;247320
229030;2023-07-13T23:27;20;6;20;11;839;1040;9020;251320
229031;2023-07-13T23:42;22;1;19;2;776;845;4540;252700
229032;2023-07-13T23:57;23;25;23;20;685;859;4860;256610
229033;2023-07-14T00:12;5;11;5;18;782;1062;10540;260340
229034;2023-07-14T00:27;3;10;17;23;571;909;6080;260420
229035;2023-07-14T00:42;24;18;1;21;562;647;3620;263430
229036;2023-07-14T00:57;24;5;17;10;441;564;3520;266280
229037;2023-07-14T01:12;5;3;8;13;420;638;5220;268400
229038;2023-07-14T01:27;22;11;26;9;667;748;4360;269560
229039;2023-07-14T01:42;19;9;4;13;527;763;5460;272680
229040;2023-07-14T01:57;6;5;3;4;522;659;3880;274850
